,Post Code,City,Region,Area,Population,Density
98,1135,,Vaud,3.3,714,216.36363636363637
99,1136,,Vaud,3.074,410,133.37670787247887
100,1141,,Vaud,2.403,224,93.21681231793592
101,1142,Pampigny,Vaud,11.1,1240,111.71171171171171
102,1143,,Vaud,12.9,1491,115.5813953488372
103,1144,Ballens,Vaud,8.4,589,70.11904761904762
104,1145,,Vaud,25.1,1675,66.73306772908366
105,1146,Mollens Vaud,Vaud,11.0,324,29.454545454545453
106,1147,,Vaud,26.0,979,37.65384615384615
107,1148,,Vaud,58.0,2849,49.12068965517241
108,1149,Berolle,Vaud,9.6,303,31.5625
109,1162,Saint-Prex,Vaud,6.0,5882,980.3333333333334
110,1163,,Vaud,4.916,2931,596.2164361269324
111,1164,,Vaud,2.095,674,321.7183770883055
112,1165,,Vaud,2.599,424,163.13966910350135
113,1166,,Vaud,2.91,1549,532.3024054982818
114,1167,,Vaud,2.34,729,311.53846153846155
115,1168,,Vaud,3.046,615,201.9041365725542
116,1169,,Vaud,9.6,1511,157.39583333333334
117,1170,Aubonne,Vaud,6.9,3166,458.8405797101449
118,1172,,Vaud,1.763,518,293.81735677821894
119,1173,,Vaud,2.705,886,327.5415896487985
120,1174,Pizy,Vaud,7.5,618,82.4
121,1175,,Vaud,4.016,1030,256.47410358565736
122,1176,,Vaud,8.1,693,85.55555555555556
123,1180,Tartegnin,Vaud,5.1,6830,1339.2156862745098
124,1182,,Vaud,7.5,1316,175.46666666666667
125,1183,,Vaud,3.376,812,240.52132701421803
126,1184,,Vaud,3.758,989,263.17189994678023
127,1185,,Vaud,3.859,2767,717.0251360456077
128,1186,,Vaud,6.0,554,92.33333333333333
129,1187,,Vaud,3.03,455,150.16501650165017
130,1188,Gimel Switzerland,Vaud,31.1,3484,112.0257234726688
131,1189,,Vaud,3.721,448,120.39774254232732
132,1195,Bursinel,Vaud,3.412,1131,331.47713950762017
133,1196,Gland Switzerland,Vaud,8.3,13664,1646.2650602409637
134,1197,,Vaud,6.1,4278,701.3114754098361
135,1239,Mies,Vaud,6.4,1623,253.59375
136,1260,Nyon,Vaud,6.8,22465,3303.6764705882356
137,1261,,Vaud,24.5,2440,99.59183673469387
138,1262,,Vaud,2.386,1775,743.9228834870075
139,1263,,Vaud,2.027,1236,609.7681302417366
140,1264,Saint-Cergue,Vaud,16.1,2568,159.5031055900621
141,1265,,Vaud,8.2,220,26.82926829268293
142,1266,,Vaud,4.167,1113,267.09863210943126
143,1267,,Vaud,4.478,1658,370.25457793657887
144,1268,Begnins,Vaud,10.5,2372,225.9047619047619
145,1269,,Vaud,20.8,1486,71.4423076923077
146,1270,,Vaud,5.7,1430,250.87719298245614
147,1271,,Vaud,3.955,1015,256.6371681415929
148,1272,,Vaud,4.87,2026,416.01642710472277
149,1273,Arzier-Le Muids,Vaud,51.9,2960,57.03275529865125
150,1274,,Vaud,4.515,985,218.16168327796237
151,1275,,Vaud,10.6,1249,117.83018867924528
152,1276,Gingins,Vaud,12.6,1266,100.47619047619048
153,1277,,Vaud,3.893,1382,354.9961469303879
154,1278,,Vaud,16.5,1196,72.48484848484848
155,1279,Bogis-Bossey,Vaud,5.3,2272,428.6792452830189
156,1291,,Vaud,6.5,2976,457.84615384615387
157,1295,,Vaud,5.1,3944,773.3333333333334
158,1296,,Vaud,1.866,3179,1703.6441586280814
159,1297,,Vaud,4.772,3802,796.7309304274937
160,1299,,Vaud,4.442,2363,531.9675821701936
161,1300,,Vaud,,,
162,1302,,Vaud,5.3,1337,252.26415094339623
163,1303,,Vaud,3.956,1923,486.0970677451972
164,1304,Aclens,Vaud,15.4,5113,332.012987012987
165,1305,,Vaud,3.915,3209,819.6679438058749
166,1306,,Vaud,5.4,1064,197.03703703703704
167,1307,Lussery-Villars,Vaud,3.61,482,133.5180055401662
168,1308,La Chaux (Cossonay),Vaud,6.7,405,60.44776119402985
169,1310,Daillens,Vaud,,,
170,1311,Morges,Vaud,,,
171,1312,,Vaud,5.9,1198,203.0508474576271
172,1313,,Vaud,3.134,308,98.27696234843651
173,1315,,Vaud,7.8,2607,334.2307692307692
174,1316,,Vaud,3.884,336,86.50875386199795
175,1317,,Vaud,5.5,471,85.63636363636364
176,1318,,Vaud,3.802,858,225.67069963177275
177,1320,Daillens,Vaud,,,
178,1321,,Vaud,7.6,691,90.92105263157895
179,1322,,Vaud,4.369,386,88.34973678187228
180,1323,Romainmôtier,Vaud,7.1,559,78.73239436619718
181,1324,,Vaud,6.1,236,38.68852459016394
182,1325,,Vaud,13.2,485,36.74242424242424
183,1326,,Vaud,9.4,347,36.91489361702128
184,1329,,Vaud,5.4,264,48.888888888888886
185,1330,,Vaud,,,
186,1337,,Vaud,23.2,3958,170.60344827586206
187,1338,Ballaigues,Vaud,9.1,1153,126.70329670329672
188,1341,,Vaud,15.9,724,45.534591194968556
189,1342,L'Abbaye,Vaud,6.0,461,76.83333333333333
190,1343,Les Charbonnières,Vaud,12.5,318,25.44
191,1344,L'Abbaye,Vaud,10.6,362,34.15094339622642
192,1345,,Vaud,23.0,568,24.695652173913043
193,1346,L'Abbaye,Vaud,19.8,711,35.90909090909091
194,1347,Le Sentier,Vaud,18.7,2486,132.94117647058823
195,1348,Le Brassus,Vaud,66.2,1393,21.04229607250755
196,1350,,Vaud,11.9,7613,639.7478991596638
197,1352,,Vaud,5.4,379,70.18518518518518
198,1353,,Vaud,4.24,203,47.87735849056604
199,1354,,Vaud,3.081,496,160.98669263226225
200,1355,Sergey Switzerland,Vaud,7.2,400,55.55555555555556
201,1356,,Vaud,7.0,186,26.571428571428573
202,1357,,Vaud,10.7,447,41.77570093457944
203,1358,,Vaud,6.4,606,94.6875
204,1372,,Vaud,10.0,1025,102.5
205,1373,,Vaud,11.3,4813,425.929203539823
206,1374,,Vaud,5.5,359,65.27272727272727
207,1375,Penthéréaz,Vaud,5.7,431,75.6140350877193
208,1376,Éclagnens,Vaud,10.7,1171,109.4392523364486
209,1377,,Vaud,5.9,606,102.71186440677965
210,1400,Yverdon-les-Bains,Vaud,24.3,30380,1250.2057613168724
211,1401,Yverdon-les-Bains,Vaud,,,
212,1404,Villars-Epeney,Vaud,5.4,328,60.74074074074073
213,1405,,Vaud,5.5,863,156.9090909090909
214,1406,,Vaud,6.6,410,62.121212121212125
215,1407,Bioley-Magnoux,Vaud,11.0,1029,93.54545454545455
216,1408,Prahins,Vaud,2.356,116,49.235993208828525
217,1409,,Vaud,1.392,110,79.02298850574714
218,1410,,Vaud,23.0,1844,80.17391304347827
219,1412,,Vaud,6.2,472,76.12903225806451
220,1413,,Vaud,4.163,208,49.96396829209704
221,1415,,Vaud,9.7,426,43.91752577319588
222,1416,Pailly,Vaud,5.7,566,99.29824561403508
223,1417,,Vaud,9.8,1081,110.30612244897958
224,1418,,Vaud,9.1,1107,121.64835164835165
225,1420,,Vaud,2.419,437,180.65316246382804
226,1421,Grandevent,Vaud,11.3,449,39.73451327433628
227,1422,,Vaud,14.2,3360,236.61971830985917
228,1423,Romairon,Vaud,11.4,886,77.71929824561403
229,1424,,Vaud,3.92,1073,273.7244897959184
230,1425,Onnens,Vaud,7.9,495,62.65822784810126
231,1426,,Vaud,30.2,1417,46.920529801324506
232,1427,,Vaud,5.9,479,81.1864406779661
233,1428,,Vaud,21.0,533,25.38095238095238
234,1429,,Vaud,4.818,448,92.98464092984642
235,1430,,Vaud,3.998,406,101.55077538769385
236,1431,Novalles,Vaud,5.1,236,46.274509803921575
237,1432,,Vaud,8.6,619,71.97674418604652
238,1433,Suchy,Vaud,6.6,671,101.66666666666667
239,1434,Épendes Vaud,Vaud,4.809,372,77.35495945102932
240,1435,,Vaud,2.595,223,85.9344894026975
241,1436,Chamblon,Vaud,4.923,1088,221.0034531789559
242,1437,Suscévaz,Vaud,4.47,219,48.99328859060403
243,1438,,Vaud,6.6,684,103.63636363636364
244,1439,,Vaud,9.9,521,52.62626262626262
245,1440,Montagny-près-Yverdon,Vaud,,,
246,1441,,Vaud,2.796,703,251.43061516452076
247,1442,,Vaud,3.401,772,226.9920611584828
248,1443,Champvent,Vaud,8.2,727,88.65853658536587
249,1445,,Vaud,5.1,599,117.45098039215686
250,1446,,Vaud,22.5,1135,50.44444444444444
251,1450,,Vaud,21.6,4187,193.84259259259258
252,1452,,Vaud,4.502,211,46.868058640604175
253,1453,Bullet Switzerland,Vaud,28.0,633,22.607142857142858
254,1454,L'Auberson,Vaud,17.8,639,35.89887640449438
255,1462,,Vaud,21.9,3529,161.14155251141554
256,1463,,Vaud,3.189,194,60.834117278143616
257,1464,,Vaud,6.1,478,78.36065573770492
258,1509,Vucherens,Vaud,3.242,635,195.8667489204195
259,1510,Moudon,Vaud,18.3,6287,343.551912568306
260,1512,,Vaud,5.1,218,42.74509803921569
261,1513,Rossenges,Vaud,5.8,453,78.10344827586208
262,1514,,Vaud,3.139,246,78.36890729531699
263,1515,Moudon,Vaud,7.7,301,39.09090909090909
264,1521,,Vaud,4.986,290,58.162855996791016
265,1522,,Vaud,8.1,3833,473.2098765432099
266,1523,Marnand,Vaud,6.9,1566,226.95652173913044
267,1524,Marnand,Vaud,2.276,283,124.34094903339192
268,1525,Seigneux,Vaud,6.3,770,122.22222222222223
269,1526,,Vaud,4.234,173,40.859707132735004
270,1530,,Vaud,17.1,10056,588.0701754385965
271,1534,,Vaud,4.668,267,57.19794344473007
272,1535,Combremont-le-Grand,Vaud,6.6,293,44.3939393939394
273,1536,Combremont-le-Petit,Vaud,5.7,404,70.87719298245614
274,1537,,Vaud,3.055,169,55.31914893617021
275,1538,,Vaud,3.057,105,34.34739941118744
276,1543,,Vaud,10.1,1000,99.00990099009901
277,1545,Chevroux Switzerland,Vaud,13.1,519,39.61832061068702
278,1551,,Vaud,5.3,280,52.83018867924528
279,1552,,Vaud,5.6,300,53.57142857142858
280,1553,Châtonnaye,Vaud,6.3,884,140.31746031746033
281,1554,Sédeilles,Vaud,2.94,278,94.5578231292517
282,1555,,Vaud,4.726,209,44.22344477359289
283,1562,,Vaud,12.2,2852,233.7704918032787
284,1565,,Vaud,6.6,888,134.54545454545456
285,1580,Avenches,Vaud,21.3,4706,220.93896713615024
286,1582,,Vaud,,,
287,1584,Villars-le-Grand,Vaud,4.157,491,118.11402453692567
288,1585,,Vaud,6.6,1335,202.27272727272728
289,1586,Vallamand,Vaud,3.436,578,168.2188591385332
290,1587,Montmagny Switzerland,Vaud,4.7,507,107.87234042553192
291,1588,Cudrefin,Vaud,31.4,1875,59.71337579617835
292,1589,Chabrey,Vaud,13.7,409,29.854014598540147
293,1595,,Vaud,6.8,955,140.44117647058823
294,1607,Les Thioleyres,Vaud,10.0,1890,189.0
295,1608,,Vaud,6.5,1042,160.30769230769232
296,1610,Châtillens,Vaud,6.6,2680,406.06060606060606
297,1612,Écoteaux,Vaud,3.604,451,125.13873473917869
298,1613,,Vaud,4.354,546,125.40192926045016
299,1658,,Vaud,23.4,532,22.735042735042736
300,1659,,Vaud,57.4,901,15.696864111498257
301,1660,,Vaud,115.7,3492,30.181503889369058
302,1682,Cerniaz,Vaud,13.5,866,64.14814814814815
303,1683,,Vaud,6.9,408,59.130434782608695
304,1800,Vevey,Vaud,2.395,19738,8241.33611691023
305,1801,,Vaud,6.1,1061,173.9344262295082
306,1802,,Vaud,1.07,2303,2152.3364485981306
307,1803,,Vaud,3.949,2074,525.1962522157509
308,1804,,Vaud,1.373,2422,1764.0203932993445
309,1805,,Vaud,2.173,1831,842.6138978370916
310,1806,,Vaud,15.2,5716,376.0526315789474
311,1807,,Vaud,16.1,6418,398.6335403726708
312,1808,,Vaud,4.715,898,190.4559915164369
313,1809,,Vaud,0.644,57,88.50931677018633
314,1811,Vevey,Vaud,,,
315,1814,La Tour-de-Peilz,Vaud,3.237,12382,3825.1467408093913
316,1815,Clarens Switzerland,Vaud,1.973,9426,4777.49619868221
317,1816,,Vaud,0.788,1140,1446.7005076142132
318,1817,,Vaud,0.585,1028,1757.2649572649573
319,1818,Montreux,Vaud,,,
320,1820,,Vaud,8.6,10881,1265.2325581395348
321,1822,,Vaud,1.534,2016,1314.2112125162973
322,1823,,Vaud,3.463,1093,315.62229280970257
323,1824,Caux Switzerland,Vaud,8.3,589,70.96385542168674
324,1832,,Vaud,5.5,672,122.18181818181819
325,1833,Les Avants,Vaud,9.5,343,36.10526315789474
326,1837,,Vaud,,,
327,1838,,Vaud,,,
328,1844,Villeneuve Vaud,Vaud,32.0,5968,186.5
329,1845,,Vaud,10.3,1169,113.49514563106796
330,1846,,Vaud,3.558,528,148.39797639123103
331,1847,,Vaud,2.176,925,425.09191176470586
332,1852,Roche Vaud,Vaud,6.4,1938,302.8125
333,1853,,Vaud,12.2,1086,89.01639344262296
334,1854,,Vaud,18.6,3719,199.94623655913978
335,1856,,Vaud,22.0,440,20.0
336,1860,Aigle,Vaud,16.4,10905,664.939024390244
337,1862,Col des Mosses,Vaud,22.8,444,19.473684210526315
338,1863,,Vaud,17.5,560,32.0
339,1864,,Vaud,12.9,290,22.48062015503876
340,1865,Les Diablerets,Vaud,48.8,1134,23.237704918032787
341,1866,,Vaud,12.8,180,14.0625
342,1867,Ollon,Vaud,29.5,4379,148.4406779661017
343,1880,Gryon,Vaud,76.2,8137,106.78477690288713
344,1882,Taveyanne,Vaud,35.8,1417,39.581005586592184
345,1884,Villars-sur-Ollon,Vaud,23.4,1837,78.50427350427351
346,1885,,Vaud,6.6,1751,265.3030303030303
347,1892,Lavey-les-Bains,Vaud,13.8,978,70.8695652173913
348,1200,Geneva,Canton of Geneva,,5008,
349,1201,Geneva,Canton of Geneva,1.334,21854,16382.30884557721
350,1202,Geneva,Canton of Geneva,3.45,34568,10019.710144927536
351,1203,Geneva,Canton of Geneva,1.945,34152,17558.868894601543
352,1204,Geneva,Canton of Geneva,1.015,5513,5431.52709359606
353,1205,Geneva,Canton of Geneva,1.871,34077,18213.254943880278
354,1206,Geneva,Canton of Geneva,1.864,20520,11008.583690987123
355,1207,Geneva,Canton of Geneva,1.316,18466,14031.91489361702
356,1208,Geneva,Canton of Geneva,1.153,14680,12732.003469210755
357,1209,Geneva,Canton of Geneva,0.994,10053,10113.682092555333
358,1211,Geneva,Canton of Geneva,,,
359,1212,,Canton of Geneva,2.225,18377,8259.32584269663
360,1213,,Canton of Geneva,5.5,35061,6374.727272727273
361,1214,,Canton of Geneva,4.996,8146,1630.5044035228182
362,1215,Geneva,Canton of Geneva,2.5,15,6.0
363,1216,Geneva Airport,Canton of Geneva,0.785,2785,3547.7707006369424
364,1217,,Canton of Geneva,8.2,24425,2978.658536585366
365,1218,,Canton of Geneva,2.725,12599,4623.48623853211
366,1219,,Canton of Geneva,3.503,22244,6349.985726520125
367,1220,,Canton of Geneva,0.229,5593,24423.5807860262
368,1222,,Canton of Geneva,3.771,5640,1495.6245027844075
369,1223,Cologny,Canton of Geneva,3.552,5970,1680.7432432432431
370,1224,,Canton of Geneva,2.355,11296,4796.6029723991505
371,1225,,Canton of Geneva,1.433,8836,6166.085136078157
372,1226,,Canton of Geneva,3.524,16115,4572.928490351873
373,1227,Geneva,Canton of Geneva,3.994,26581,6655.232849273911
374,1228,,Canton of Geneva,5.8,11438,1972.0689655172414
375,1231,,Canton of Geneva,1.912,2480,1297.071129707113
376,1232,Confignon,Canton of Geneva,2.829,4603,1627.076705549664
377,1233,,Canton of Geneva,12.5,10220,817.6
378,1234,Geneva,Canton of Geneva,3.595,5749,1599.165507649513
379,1236,Cartigny Switzerland,Canton of Geneva,4.781,1055,220.66513281740222
380,1237,,Canton of Geneva,4.62,1708,369.6969696969697
381,1240,Geneva,Canton of Geneva,,,
382,1241,Puplinge,Canton of Geneva,2.669,2527,946.7965530161109
383,1242,Satigny,Canton of Geneva,18.0,4326,240.33333333333334
384,1243,Presinge,Canton of Geneva,4.653,737,158.39243498817967
385,1244,,Canton of Geneva,3.913,1222,312.2923588039867
386,1245,Geneva,Canton of Geneva,2.423,2856,1178.704085843995
387,1246,Corsier,Canton of Geneva,2.784,2267,814.2959770114943
388,1247,Anières,Canton of Geneva,3.873,2417,624.0640330493158
389,1248,Hermance,Canton of Geneva,1.433,1189,829.7278436845778
390,1251,,,3.312,483,145.83333333333334
391,1252,Meinier,Canton of Geneva,6.9,2069,299.8550724637681
392,1253,Vandœuvres,Canton of Geneva,4.446,2851,641.2505623031939
393,1254,Jussy Switzerland,Canton of Geneva,11.3,1209,106.99115044247787
394,1255,Veyrier,Canton of Geneva,2.879,6154,2137.5477596387636
395,1256,Troinex,Canton of Geneva,3.531,3226,913.6222033418295
396,1257,,Canton of Geneva,4.689,2529,539.3474088291747
397,1258,Perly-Certoux,Canton of Geneva,2.79,3169,1135.84229390681
398,1279,Bogis-Bossey,Vaud,5.3,2272,428.6792452830189
399,1281,Russin,Canton of Geneva,4.831,542,112.19209273442351
400,1283,Dardagny,Canton of Geneva,8.6,1799,209.18604651162792
401,1284,Chancy,Canton of Geneva,5.4,1651,305.7407407407407
402,1285,,Canton of Geneva,5.1,1392,272.94117647058823
403,1286,Soral,Canton of Geneva,2.908,963,331.1554332874828
404,1287,,Canton of Geneva,3.844,694,180.54110301768992
405,1288,Aire-la-Ville,Canton of Geneva,2.925,1145,391.45299145299145
406,1289,Geneva,Canton of Geneva,,,
407,1290,,Canton of Geneva,13.3,14474,1088.2706766917292
408,1292,,Canton of Geneva,3.282,4002,1219.3784277879342
409,1293,,Canton of Geneva,4.411,4189,949.6712763545682
410,1294,,Canton of Geneva,2.835,2764,974.9559082892416
411,1296,,Vaud,1.866,3179,1703.6441586280814
412,1298,Céligny,Canton of Geneva,4.668,845,181.0197086546701
413,1468,Cheyres,Canton of Fribourg,13.0,1590,122.3076923076923
414,1470,Lully Fribourg,Canton of Fribourg,23.4,7444,318.11965811965814
415,1473,,Canton of Fribourg,10.3,935,90.7766990291262
416,1474,,Canton of Fribourg,8.6,815,94.76744186046513
417,1475,,Canton of Fribourg,18.7,1184,63.31550802139038
418,1482,Cugy Fribourg,Canton of Fribourg,6.2,1534,247.41935483870967
419,1483,,Canton of Fribourg,7.7,1166,151.42857142857142
420,1484,Aumont,Canton of Fribourg,6.3,827,131.26984126984127
421,1485,,Canton of Fribourg,4.002,494,123.43828085957023
422,1486,,Canton of Fribourg,5.6,260,46.42857142857143
423,1489,,Canton of Fribourg,8.2,785,95.73170731707317
424,1527,,Canton of Fribourg,3.527,389,110.29203288914091
425,1528,Surpierre,Canton of Fribourg,4.839,380,78.52862161603636
426,1529,,Canton of Fribourg,5.1,369,72.3529411764706
427,1532,,Canton of Fribourg,4.1,1180,287.8048780487805
428,1533,,Canton of Fribourg,4.374,437,99.90855052583449
429,1541,Bussy Fribourg,Canton of Fribourg,8.7,1047,120.3448275862069
430,1542,,Canton of Fribourg,3.226,527,163.3601983880967
431,1544,Gletterens,Canton of Fribourg,7.7,1118,145.19480519480518
432,1563,Dompierre Fribourg,Canton of Fribourg,4.447,1384,311.22104789745896
433,1564,,Canton of Fribourg,8.9,3336,374.8314606741573
434,1566,Saint-Aubin Fribourg,Canton of Fribourg,7.9,1929,244.1772151898734
435,1567,,Canton of Fribourg,3.754,477,127.06446457112413
436,1568,Portalban- Dessous,Canton of Fribourg,12.0,832,69.33333333333333
437,1583,,Canton of Fribourg,4.784,677,141.5133779264214
438,1609,,Canton of Fribourg,9.9,1021,103.13131313131312
439,1611,Le Crêt,Canton of Fribourg,7.4,591,79.86486486486486
440,1614,,Canton of Fribourg,4.47,931,208.27740492170022
441,1615,,Canton of Fribourg,4.123,1575,382.00339558573853
442,1616,,Canton of Fribourg,7.7,3164,410.9090909090909
443,1617,,Canton of Fribourg,7.9,1798,227.59493670886076
444,1618,Châtel-Saint-Denis,Canton of Fribourg,22.3,7029,315.2017937219731
445,1619,,Canton of Fribourg,25.7,1136,44.202334630350194
446,1623,,Canton of Fribourg,26.8,1550,57.83582089552239
447,1624,,Canton of Fribourg,8.5,733,86.23529411764706
448,1625,Sâles Fribourg,Canton of Fribourg,13.0,964,74.15384615384616
449,1626,Rueyres,Canton of Fribourg,6.3,484,76.82539682539682
450,1627,,Canton of Fribourg,10.2,1117,109.50980392156863
451,1628,,Canton of Fribourg,10.4,2543,244.51923076923077
452,1630,Bulle,Canton of Fribourg,12.4,20408,1645.8064516129032
453,1631,Bulle,Canton of Fribourg,,,
454,1632,,Canton of Fribourg,8.2,2868,349.75609756097566
455,1633,,Canton of Fribourg,8.3,2071,249.5180722891566
456,1634,La Roche Fribourg,Canton of Fribourg,24.2,1824,75.37190082644628
457,1635,La Tour-de-Trême,Canton of Fribourg,9.6,5349,557.1875
458,1636,,Canton of Fribourg,10.1,2649,262.2772277227723
459,1637,Charmey,Canton of Fribourg,88.2,2205,25.0
460,1638,,Canton of Fribourg,4.172,661,158.43720038350912
461,1642,,Canton of Fribourg,8.7,1105,127.01149425287358
462,1643,Pont-en-Ogoz,Canton of Fribourg,3.634,899,247.38580077050082
463,1644,,Canton of Fribourg,4.204,660,156.99333967649858
464,1645,Le Bry,Canton of Fribourg,4.116,414,100.58309037900875
465,1646,,Canton of Fribourg,4.729,842,178.05032776485515
466,1647,,Canton of Fribourg,4.788,651,135.96491228070175
467,1648,,Canton of Fribourg,12.0,702,58.5
468,1649,,Canton of Fribourg,5.5,630,114.54545454545455
469,1651,Villarvolard,Canton of Fribourg,6.0,367,61.166666666666664
470,1652,Botterens,Canton of Fribourg,4.597,733,159.4518164020013
471,1653,Châtel-sur-Montsalvens,Canton of Fribourg,3.821,797,208.5841402774143
472,1654,Cerniat,Canton of Fribourg,33.7,415,12.31454005934718
473,1656,Jaun,Canton of Fribourg,55.2,636,11.521739130434781
474,1661,,Canton of Fribourg,5.3,1351,254.9056603773585
475,1663,,Canton of Fribourg,29.4,2272,77.27891156462586
476,1665,Estavannens-Dessus,Canton of Fribourg,10.7,499,46.635514018691595
477,1666,,Canton of Fribourg,27.9,1147,41.111111111111114
478,1667,Enney,Canton of Fribourg,8.4,823,97.97619047619047
479,1669,Lessoc,Canton of Fribourg,60.4,1664,27.549668874172188
480,1670,,Canton of Fribourg,5.1,2112,414.11764705882354
481,1673,,Canton of Fribourg,15.2,2166,142.5
