Date,Position,Freq,Salary,StartDate,Location,Days
04.01.2023,Nanny,Regelmässig,30-35 CHF,01.06.2023,Ermatingen - Thurgau,1-2 Tage / Woche
21.12.2022,Nanny,Regelmässig,Marktüblich,Nach Absprache,Richterswil - Zürich,1/2 tag + zusätzliche stunden
18.12.2022,Nanny,Regelmässig,Marktüblich,Ab sofort,Wildberg - Zürich,Montag Nachmittag
06.11.2022,Nanny,Regelmässig,Marktüblich,Dezember,Oberdiessbach - Bern,Montag morgen /Dienstag morgen jeweils 4h
03.11.2022,Tagesmutter,Mehrmalig,20-25 CHF,So schnell wie möglich,Arbon - Thurgau,1-2 mal in der woche für höchstens 9 stunden
10.10.2022,Tagesmutter + Haushaltshilfe,Regelmässig,Marktüblich,Januar 2023,Märwil - Thurgau,70%
07.10.2022,Nanny,Regelmässig,Marktüblich,01.04.2023,Zumikon - Zürich,2 Tage
23.09.2022,Nanny,Regelmässig,Marktüblich,18. Oktober 2022,Weinfelden - Thurgau,3-4h jeweils Dienstag Nachmittag
10.09.2022,Nanny,Regelmässig,25-30 CHF,,Abtwil - St. Gallen,2.5 Tage
28.08.2022,Nanny,Regelmässig,Marktüblich,September,Zurich - Zürich,2-3 Tage pro Woche
16.08.2022,Kinderbetreuung vor Ort,Regelmässig,Marktüblich,Ab sofort,Bettlach - Solothurn,2 Tage frei wählbar/ 20 Stunden
15.08.2022,Babysitter,Regelmässig,Marktüblich,,Zürich - Zürich,"2 afternoons per week, 2-3h"
06.08.2022,Nanny,Regelmässig,Marktüblich,01.09.2022,Uetikon am See - Zürich,Donnerstag 7:30-18:30 Freitag 08:00-17:00 mit Spielraum
02.08.2022,Babysitter,Mehrmalig,Marktüblich,,Zürich - Zürich,10 Stunden
14.07.2022,Nanny,Regelmässig,Marktüblich,August,Zürich - Zürich,2 - 3 halbe Tage pro Woche
08.07.2022,Babysitterin,Regelmässig,30-35 CHF,22.8.22,Thalwil - Zürich,"Freitag, 17.30-22.30 Uhr"
06.07.2022,Nanny,Regelmässig,Marktüblich,August oder nach Vereinbarung,Zürich - Zürich,Mittwoch 07:30 - 19:30
31.03.2022,Nanny/ Tagesmami,Regelmässig,Marktüblich,Sofort,Berneck - Appenzell Innerrhoden,3 Tage à 4-10 Stunden
31.03.2022,Nanny/ Tagesmami,Regelmässig,Marktüblich,Sofort,Berneck - St. Gallen,3 Tage à 4-10 Stunden
14.03.2022,Nanny,Mehrmalig,Marktüblich,Ab April möglich,Zürich - Zürich,8-16h pro Woche
